Cap	NewCapCos	ManCos	ManCos	GenCos	GenCos	GHGEmi	WatCon	WatWit	Bagase	Biogas	Coal	Oil	Coke	Diesel	NaturalGas	SolidWaste	Uranium	Bagase.FueCon	Biogas.FueCon	Coal.FueCon	Oil.FueCon	Coke.FueCon	Diesel.FueCon	NaturalGas.FueCon	SolidWaste.FueCon	Uranium.FueCon	GENCOPri	Pref	Flex
10.00	2720253.0864	40545.4545	36604.9383	3.6667	3.5556	0.4270	1.0408	3.1989	0.3300	0.3700	0.0000	0.1300	0.0000	0.0000	0.1100	0.0600	0.0000	19.9040	11.4640	0.0000	19.9040	0.0000	0.0000	19.9040	17.7950	0.0000	25.1738	4.00	1.00
100.00	1013205.1915	34000.0000	33000.0000	2.0000	2.0000	0.9790	1.8927	2.2712	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.8990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.5214	12.00	1.00
250.00	975992.3077	18967.3913	18096.1538	3.5870	3.4615	0.3440	0.8517	1.0410	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.9210	0.0000	0.0000	10.5173	8.00	1.00
125.00	2159478.2609	23903.2258	44086.9565	3.9677	6.0000	0.5210	1.4556	1.6947	0.0000	0.0100	0.0000	0.0200	0.0000	0.0300	0.9400	0.0000	0.0000	0.0000	8.0560	0.0000	8.0560	0.0000	13.7430	9.6400	0.0000	0.0000	15.7496	9.00	1.00
50.00	1626000.0000	36747.3684	41565.2174	3.4737	4.7391	1.0950	2.4864	3.4390	0.0000	0.0000	0.0000	0.9400	0.0000	0.0200	0.0400	0.0000	0.0000	0.0000	0.0000	0.0000	8.0560	0.0000	9.3680	9.0310	0.0000	0.0000	25.3124	13.00	1.00
60.00	1423000.0000	38000.0000	38000.0000	0.0000	0.0000	0.0000	0.0076	0.0151	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	83.4790	1.00	0.00
30.00	1883617.6471	84000.0000	83588.2353	0.0000	0.0000	0.0000	1.0410	1.1356	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.0352	5.00	1.00
40.00	1931000.0000	26855.0000	28589.2857	0.0000	0.0000	0.0000	0.6726	0.6768	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	24.9601	7.00	1.00
450.00	1438000.0000	35000.0000	35000.0000	3.0000	3.0000	1.2350	0.0249	0.0684	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.3730	0.0000	0.0000	0.0000	0.0000	7.8640	14.00	1.00
1360.00	3989000.0000	101000.0000	101000.0000	2.0000	2.0000	0.0000	2.9337	4.3532	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.8570	11.4029	6.00	0.00
80.00	1169128.9199	11000.0000	11000.0000	0.0000	0.0000	0.0000	0.3218	0.4542	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	47.3642	3.00	0.00
300.00	1613000.0000	37101.2658	33914.8684	3.1266	0.0000	0.7640	0.8123	0.9774	0.0000	0.0000	0.0000	0.3000	0.0000	0.5000	0.2000	0.0000	0.0000	0.0000	0.0000	0.0000	19.9040	0.0000	19.9040	19.9040	0.0000	0.0000	7.2514	10.00	1.00
10.00	6607000.0000	0.0000	49000.0000	0.0000	0.0000	0.0000	3.9747	4.1640	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	31.9228	2.00	0.00
50.00	813020.0000	5232.0000	5000.0000	4.9840	5.0000	0.7650	0.2839	1.6656	0.0000	0.0000	0.0000	0.0000	0.0000	0.3000	0.7000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.6130	8.8860	0.0000	0.0000	32.0708	1.00	1.00
