Tecnologia	Region	AnnoRetiro	Capacidad
2	12	12	350
2	12	12	350
2	12	12	350
2	12	12	350
3	33	1	226
3	14	3	211
3	33	5	226
3	11	6	240
3	32	7	232
3	7	11	174
3	7	11	174
3	7	11	174
5	50	5	32
5	50	5	41
5	50	7	32
6	53	1	1
7	28	2	5
7	28	2	5
7	28	2	5
7	48	3	30
7	34	4	5
7	34	4	5
7	34	4	5
12	3	1	84
12	3	1	84
12	3	1	158
12	3	1	158
12	32	1	350
12	31	3	150
12	31	3	150
12	31	3	150
12	6	3	158
12	6	3	158
12	14	3	300
12	27	3	300
12	27	3	300
12	32	3	350
12	32	3	350
12	32	3	350
12	32	3	350
12	32	3	350
12	19	4	250
12	19	4	250
12	4	4	160
12	4	4	160
12	46	5	160
12	46	5	160
12	51	6	37.5
12	51	6	37.5
12	51	6	37.5
12	9	6	150
12	9	6	150
12	11	6	160
12	11	6	160
12	7	6	158
12	7	6	158
12	1	6	158
12	1	6	158
12	1	6	158
12	1	6	158
12	41	6	37.5
12	41	6	37.5
12	41	6	37.5
12	42	6	84
12	42	6	84
12	42	6	37.5
12	42	6	37.5
14	43	1	30
14	41	1	14
14	42	1	30
14	5	3	30
14	1	3	12
14	1	3	30
14	16	3	12
14	16	3	12
14	16	3	12
14	12	3	18
14	12	3	30
14	16	3	26
14	16	3	12
14	16	3	12
14	47	5	27.4
14	48	5	26
14	48	5	18
14	48	5	18
14	46	5	30
14	46	5	30
14	50	5	33.2
14	46	6	150
14	31	6	42
14	11	6	14
14	11	6	14
14	7	6	18
14	11	6	14
14	11	6	14
14	11	6	14
14	11	6	14
14	7	6	18
14	7	6	13
14	7	6	28
14	43	6	14
14	43	6	14
14	43	6	44
14	45	6	14
14	45	6	14
14	45	6	25
14	41	6	16
14	41	6	17
14	42	6	30
14	43	6	44
14	43	6	44
14	44	6	14
14	44	6	25.7
14	51	10	18
14	51	10	25
